id,name,period,x,y
15,"Artists Inspiring Artists","Baroque",263,75
151,"Fine Painters", "Baroque",296,187
16,"A New Art for a New Nation: Dutch Painting 1600–1700","Baroque",273,222
17,"Modern Subjects: Dutch Painting 1600–1700","Baroque",274,194
171,"Deceiving the Eye: Dutch Perspectives around 1650","Baroque",276,170
18,"Peter Paul Rubens (1577–1640)","Baroque",316,109
19,"Land and Water: Dutch Painting 1600-1700","Baroque",262,143
20,"A Different View of Flanders: Flemish Painting 1600-1650","Baroque",264,109
21,"Anthony van Dyck (1599–1641)","Baroque",262,77
22,"Rembrandt (1606–1669)","Baroque",364,77
23,"The Cradle of Dutch Painting: Haarlem 1600–1700","Baroque",365,109
24,"International Ambitions: Dutch and Flemish History Painting 1600–1700", "Baroque",365,139
25,"Still Life: European Painting 1600–1900","Baroque",416,141
26,"Intimate Baroque: European Painting 1600–1700","Baroque",350,169
27,"The Italianate Landscape: European Painting 1600–1700","Baroque",383,167
28,"Flowers: Dutch and Flemish Painting 1600–1700","Baroque",415,170
29,"Making Paris a New Rome: French Painting 1600–1700","Baroque",416,205
30,"Power and Piety: Spanish Painting 1600–1700","Baroque",539,204
31,"Charles I and Henrietta Maria: A Royal Collection 1625–1649","Baroque",542,159
32,"Baroque Splendour: Italian Painting 1600–1700","Baroque",673,210
